1,2,3
3.44E+03,8.29E+02,1.00E+00
3.49E+03,4.50E+03,0.00E+00
3.53E+03,4.55E+03,0.00E+00
3.58E+03,2.66E+03,1.00E+00
3.62E+03,5.00E+03,0.00E+00
3.67E+03,3.47E+03,0.00E+00
3.71E+03,2.91E+03,0.00E+00
3.76E+03,1.68E+03,0.00E+00
3.80E+03,1.96E+03,0.00E+00
3.85E+03,1.06E+03,0.00E+00
3.89E+03,4.27E+02,0.00E+00
3.94E+03,1.26E+02,1.00E+00
3.98E+03,3.19E+03,0.00E+00
4.03E+03,2.64E+03,1.00E+00
4.08E+03,1.21E+03,1.00E+00
4.12E+03,1.66E+03,1.00E+00
4.17E+03,1.36E+03,0.00E+00
4.21E+03,2.11E+03,0.00E+00
4.26E+03,4.60E+03,0.00E+00
4.30E+03,3.97E+03,0.00E+00
4.35E+03,4.17E+03,0.00E+00
4.39E+03,2.84E+03,1.00E+00
4.44E+03,3.02E+02,1.00E+00
4.48E+03,2.94E+03,0.00E+00
4.53E+03,2.34E+03,1.00E+00
4.57E+03,3.02E+03,0.00E+00
4.62E+03,3.87E+03,0.00E+00
4.66E+03,2.26E+03,0.00E+00
4.71E+03,2.04E+03,0.00E+00
4.75E+03,3.07E+03,1.00E+00
4.80E+03,4.80E+03,0.00E+00
4.84E+03,3.27E+02,1.00E+00
4.89E+03,2.06E+03,0.00E+00
4.93E+03,3.32E+03,1.00E+00
4.98E+03,4.70E+03,0.00E+00
5.03E+03,1.13E+03,0.00E+00
5.07E+03,2.49E+03,1.00E+00
5.12E+03,9.05E+02,1.00E+00
5.16E+03,4.05E+03,0.00E+00
5.21E+03,4.67E+03,0.00E+00
5.25E+03,3.84E+03,0.00E+00
5.30E+03,2.59E+03,1.00E+00
5.34E+03,4.90E+03,0.00E+00
5.39E+03,4.95E+03,0.00E+00
5.43E+03,3.72E+03,1.00E+00
5.48E+03,4.35E+03,0.00E+00
5.52E+03,1.88E+03,1.00E+00
5.57E+03,5.28E+02,1.00E+00
5.61E+03,2.29E+03,1.00E+00
5.66E+03,3.82E+03,1.00E+00
5.70E+03,5.03E+01,1.00E+00
5.75E+03,1.76E+03,1.00E+00
5.79E+03,2.14E+03,1.00E+00
5.84E+03,3.77E+03,1.00E+00
5.88E+03,1.51E+02,1.00E+00
5.93E+03,2.81E+03,0.00E+00
5.97E+03,0.00E+00,1.00E+00
6.02E+03,3.89E+03,0.00E+00
6.07E+03,1.93E+03,1.00E+00
6.11E+03,1.63E+03,1.00E+00
6.16E+03,1.38E+03,1.00E+00
6.20E+03,4.20E+03,1.00E+00
6.25E+03,2.21E+03,1.00E+00
6.29E+03,3.27E+03,1.00E+00
6.34E+03,1.16E+03,1.00E+00
6.38E+03,1.56E+03,1.00E+00
6.43E+03,1.86E+03,1.00E+00
6.47E+03,2.31E+03,1.00E+00
6.52E+03,3.69E+03,0.00E+00
6.56E+03,4.02E+03,1.00E+00
6.61E+03,3.59E+03,1.00E+00
6.65E+03,2.19E+03,1.00E+00
6.70E+03,4.52E+03,0.00E+00
6.74E+03,3.64E+03,0.00E+00
6.79E+03,4.12E+03,0.00E+00
6.83E+03,2.51E+02,1.00E+00
6.88E+03,8.04E+02,1.00E+00
6.92E+03,2.09E+03,1.00E+00
6.97E+03,4.57E+03,1.00E+00
7.02E+03,2.51E+03,1.00E+00
7.06E+03,3.14E+03,1.00E+00
7.11E+03,5.78E+02,1.00E+00
7.15E+03,3.17E+03,1.00E+00
7.20E+03,2.26E+02,1.00E+00
7.24E+03,4.27E+03,1.00E+00
7.29E+03,2.61E+03,1.00E+00
7.33E+03,3.79E+03,1.00E+00
7.38E+03,3.39E+03,1.00E+00
7.42E+03,2.79E+03,1.00E+00
7.47E+03,4.72E+03,1.00E+00
7.51E+03,1.61E+03,1.00E+00
7.56E+03,3.77E+02,1.00E+00
7.60E+03,1.03E+03,1.00E+00
7.65E+03,4.10E+03,1.00E+00
7.69E+03,2.74E+03,1.00E+00
7.74E+03,2.01E+03,1.00E+00
7.78E+03,1.31E+03,1.00E+00
7.83E+03,6.53E+02,1.00E+00
7.87E+03,1.91E+03,1.00E+00
7.92E+03,1.08E+03,1.00E+00
7.96E+03,6.03E+02,1.00E+00
8.01E+03,7.54E+01,1.00E+00
8.06E+03,4.25E+03,1.00E+00
8.10E+03,1.23E+03,1.00E+00
8.15E+03,3.74E+03,1.00E+00
8.19E+03,3.29E+03,1.00E+00
8.24E+03,4.77E+03,1.00E+00
8.28E+03,7.54E+02,1.00E+00
8.33E+03,3.04E+03,1.00E+00
8.37E+03,2.89E+03,1.00E+00
8.42E+03,4.40E+03,1.00E+00
8.46E+03,2.01E+02,1.00E+00
8.51E+03,1.51E+03,1.00E+00
8.55E+03,3.22E+03,1.00E+00
8.60E+03,2.51E+01,1.00E+00
8.64E+03,1.43E+03,1.00E+00
8.69E+03,5.53E+02,1.00E+00
8.73E+03,1.53E+03,1.00E+00
8.78E+03,1.58E+03,1.00E+00
8.82E+03,1.76E+02,1.00E+00
8.87E+03,4.92E+03,1.00E+00
8.91E+03,3.54E+03,1.00E+00
8.96E+03,2.16E+03,1.00E+00
9.01E+03,2.41E+03,1.00E+00
9.05E+03,1.71E+03,1.00E+00
9.10E+03,1.26E+03,1.00E+00
9.14E+03,3.57E+03,1.00E+00
9.19E+03,3.94E+03,1.00E+00
9.23E+03,3.92E+03,1.00E+00
9.28E+03,3.49E+03,1.00E+00
9.32E+03,3.67E+03,1.00E+00
9.37E+03,2.54E+03,1.00E+00
9.41E+03,5.03E+02,1.00E+00
9.46E+03,4.47E+03,1.00E+00
9.50E+03,6.28E+02,1.00E+00
9.55E+03,3.37E+03,1.00E+00
9.59E+03,1.78E+03,1.00E+00
9.64E+03,3.24E+03,1.00E+00
9.68E+03,3.62E+03,1.00E+00
9.73E+03,4.82E+03,1.00E+00
9.77E+03,1.98E+03,1.00E+00
9.82E+03,3.34E+03,1.00E+00
9.86E+03,3.44E+03,1.00E+00
9.91E+03,1.81E+03,1.00E+00
9.95E+03,3.52E+03,1.00E+00
1.00E+04,9.30E+02,1.00E+00
